# 検証を通ったキャラクター紹介ポスト。x_posts.py verify が書く。
# 公式アカウントの投稿で、本文にキャラ名が出るものだけが入る。
cid	vid	character	account	status_url	kind	checked_at	note
c29018	v1678	天童 瑠璃弥	@vitamin_d3p	https://x.com/vitamin_d3p/status/1076492814870081536	誕生日	2026-09-12	紹介らしい ｜ ＼HAPPY BIRTHDAY／今日12月23日は天童瑠璃弥(CV:神谷浩史)のお誕生日！天童センセー、おめでトゲー♪#
c29019	v1678	桐丘 凛太朗	@vitamin_d3p	https://x.com/vitamin_d3p/status/1052575275769372673	誕生日	2026-09-12	紹介らしい ｜ ＼HAPPY BIRTHDAY／今日10月18日は桐丘凛太朗(CV:花輪英司)のお誕生日！桐丘センセー、おめでトゲー♪#
c62702	v1715	相馬 主計	@HakuokiShinkai	https://x.com/HakuokiShinkai/status/1541345598116401152	フルネーム	2026-09-12	紹介らしい ｜ シリーズ最新作『薄桜鬼 真改 天雲ノ抄』キャラクター紹介⑪攻略対象キャラクター⚔相馬主計(CV．#梶裕貴)⏰2022年1
c62703	v1715	坂本 龍馬	@HakuokiShinkai	https://x.com/HakuokiShinkai/status/1541345595616481281	フルネーム	2026-09-12	紹介らしい ｜ シリーズ最新作『薄桜鬼 真改 天雲ノ抄』キャラクター紹介⑫攻略対象キャラクター⚔坂本龍馬(CV．#小野大輔)⏰2022年
c62704	v1715	伊庭 八郎	@HakuokiShinkai	https://x.com/HakuokiShinkai/status/1541345599001448448	フルネーム	2026-09-12	紹介らしい ｜ シリーズ最新作『薄桜鬼 真改 天雲ノ抄』キャラクター紹介⑩攻略対象キャラクター⚔伊庭八郎(CV．#宮野真守)⏰2022年
c6947	v1715	土方 歳三	@HakuokiShinkai	https://x.com/HakuokiShinkai/status/1541345599689150466	フルネーム	2026-09-12	紹介らしい ｜ シリーズ最新作『薄桜鬼 真改 天雲ノ抄』キャラクター紹介②攻略対象キャラクター⚔土方歳三(CV．#三木眞一郎)⏰2022
c6968	v1715	沖田 総司	@HakuokiShinkai	https://x.com/HakuokiShinkai/status/1541345599726882818	フルネーム	2026-09-12	紹介らしい ｜ シリーズ最新作『薄桜鬼 真改 天雲ノ抄』キャラクター紹介③攻略対象キャラクター⚔沖田総司(CV．#森久保祥太郎)⏰202
c6969	v1715	斎藤 一	@HakuokiShinkai	https://x.com/HakuokiShinkai/status/1541345603594117120	フルネーム	2026-09-12	紹介らしい ｜ シリーズ最新作『薄桜鬼 真改 天雲ノ抄』キャラクター紹介④攻略対象キャラクター⚔斎藤一(CV．#鳥海浩輔)⏰2022年1
c6970	v1715	藤堂 平助	@HakuokiShinkai	https://x.com/HakuokiShinkai/status/1541345604453838848	フルネーム	2026-09-12	紹介らしい ｜ シリーズ最新作『薄桜鬼 真改 天雲ノ抄』キャラクター紹介⑤攻略対象キャラクター⚔藤堂平助(CV．#吉野裕行)⏰2022年
c6971	v1715	原田 左之助	@HakuokiShinkai	https://x.com/HakuokiShinkai/status/1541345591313047552	フルネーム	2026-09-12	紹介らしい ｜ シリーズ最新作『薄桜鬼 真改 天雲ノ抄』キャラクター紹介⑥攻略対象キャラクター⚔原田左之助(CV．#遊佐浩二)⏰2022
c6972	v1715	風間 千景	@HakuokiShinkai	https://x.com/HakuokiShinkai/status/1541345594479878145	フルネーム	2026-09-12	紹介らしい ｜ シリーズ最新作『薄桜鬼 真改 天雲ノ抄』キャラクター紹介⑬攻略対象キャラクター⚔風間千景(CV．#津田健次郎)⏰2022
c41909	v17286	神代 海	@D3P_otome	https://x.com/D3P_otome/status/677767784978231296	フルネーム	2026-09-12	紹介らしい ｜ 【BELIEVER! 発売中】キャラクター別お楽しみポイント『神代 海』（CV:斉藤壮馬）海は見た目通り、真っ直ぐ！素直
c41915	v17286	舞川 臣	@D3P_otome	https://x.com/D3P_otome/status/676621610984464384	フルネーム	2026-09-12	要確認 ｜ 【BELIEVER! 今週発売】キャラクター別お楽しみポイントを毎日配信！ 『舞川 臣』→続き悲しい過去を背負いながら己
c41920	v17286	伊波 遊	@D3P_otome	https://x.com/D3P_otome/status/677007887730896896	フルネーム	2026-09-12	紹介らしい ｜ 【BELIEVER! 12/17発売】キャラクター別お楽しみポイント『伊波 遊』（CV:梅原裕一郎）一見チャラチャラして
c54642	v17287	月下丸	@D3P_otome	https://x.com/D3P_otome/status/833265545394876418	プロフィール	2026-09-12	手で指定 ｜ 東松山での任務はいかがだったでしょうか？俺は一人の忍びとして貴方と任務が遂行出来て光栄でした。共闘での連携がうまくいった
c54643	v17287	黒雪	@D3P_otome	https://x.com/D3P_otome/status/833266843460595712	プロフィール	2026-09-12	手で指定 ｜ 任務、お疲れ様！諜報活動とかお茶会とか、一緒に行動できて楽しかったなぁ。あ、でも今度は二人きりで任務に行けるといいよね。
c54644	v17287	百地 蝶治郎	@D3P_otome	https://x.com/D3P_otome/status/833267372815380480	プロフィール	2026-09-12	手で指定 ｜ 無事任務を終えられ安堵している頃だろうか。初任務の緊張を乗り越え成長を遂げたお前のことは、師として誇りに思う。お前たち弟
c54645	v17287	服部 半蔵	@D3P_otome	https://x.com/D3P_otome/status/833268249022246915	プロフィール	2026-09-12	手で指定 ｜ 正直、ここまでの働きは期待していなかった。腕は未熟だが鍛錬次第では伸びる可能性もあるだろう。……だが、茶会で話したような
c54646	v17287	石川 五右衛門	@D3P_otome	https://x.com/D3P_otome/status/833268863999434754	プロフィール	2026-09-12	手で指定 ｜ まさかお嬢ちゃんに一本取られるとは思わなかったな。けど、俺の演技もなかなかのものだったろう？あの家康相手に一計を案じたん
c54646	v17287	石川 五右衛門	@D3P_otome	https://x.com/D3P_otome/status/677371216433254401	その他	2026-09-12	紹介らしい ｜ 【BELIEVER! 本日発売】キャラクター別お楽しみポイント 『勅使河原 錬』（CV:石川界人）いつも冷静で自信たっぷ
c33856	v17343	片桐 金太郎	@ys_otomate	https://x.com/ys_otomate/status/669071897913507840	誕生日	2026-09-12	要確認 ｜ 【片桐 金太郎　HAPPY BIRTHDAY！】昨日11月23日は金太郎の誕生日！連休中はたくさんのお客様がいらしていた
c33859	v17343	佐伯 宏太	@ys_otomate	https://x.com/ys_otomate/status/698066871648538624	誕生日	2026-09-12	要確認 ｜ 【佐伯　宏太　HAPPY BIRTHDAY！】2月12日は宏太の誕生日！従業員一同が張り切って作ったバースデーケーキ！
c33866	v17343	泉 高平	@ys_otomate	https://x.com/ys_otomate/status/770197007239516160	誕生日	2026-09-12	要確認 ｜ 【泉 高平　HAPPY BIRTHDAY！】昨日8月28日は高平の誕生日！　忘れられたと思って大騒ぎしていた高平でしたが
c33867	v17343	葛城 直昌	@ys_otomate	https://x.com/ys_otomate/status/677414415570898944	誕生日	2026-09-12	要確認 ｜ 【葛城 直昌　HAPPY BIRTHDAY！】本日12月17日は福寿楼で部屋係を務める直昌の誕生日！ケーキとマジパンは勿
c38159	v17343	香賀 梅ノ介	@ys_otomate	https://x.com/ys_otomate/status/741195918398083072	誕生日	2026-09-12	要確認 ｜ 【香賀　梅ノ介　HAPPY BIRTHDAY！】本日6月10日は梅ノ介の誕生日！ワケ有りな常連客である彼ですが、今日は大
c40066	v17344	シキシマ	@BAW_otomate	https://x.com/BAW_otomate/status/654562137721860096	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター情報】シキシマ（CV：石田彰）「僕はどこにでも行くよ。気の向くまま、風の向くまま」#バドウォ pic.tw
c40067	v17344	サトル	@BAW_otomate	https://x.com/BAW_otomate/status/654562343792148480	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター情報】サトル（CV：花江夏樹）「ああもう……うっさい。黙れよ……覚えた単語、忘れるだろ……」#バドウォ p
c38576	v17640	アストラム	@period_otomate	https://x.com/period_otomate/status/709984715256807424	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター×キャスト情報】◆アストラム（CV:櫻井孝宏）◆本名：麻生 透（あそう とおる）年齢：21歳現実：医大生、
c38929	v17640	ヒロヤ	@period_otomate	https://x.com/period_otomate/status/709957613627318272	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター×キャスト情報】◆ヒロヤ（CV:岡本信彦)◆本名：橘 紘也（たちばな ひろや）年齢：17歳現実：高校2年生
c38941	v17640	ラディウス	@period_otomate	https://x.com/period_otomate/status/709957754161647617	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター×キャスト情報】◆ラディウス（CV:前野智昭）◆本名：藍條 玲（あいじょう れい）年齢：18歳現実：大学1
c43651	v17640	リベラ	@period_otomate	https://x.com/period_otomate/status/709970983973756928	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター×キャスト情報】◆リベラ（CV:花江夏樹）◆本名：結城 琉久（ゆうき りく）年齢：14歳現実：中学2年生、
c43659	v17640	ザイン	@period_otomate	https://x.com/period_otomate/status/709999909722791937	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター×キャスト情報】◆ザイン（CV:平川大輔）◆本名：なし年齢：18歳くらい現実：存在なし公式サイト⇒(htt
c48031	v17640	ディメント	@period_otomate	https://x.com/period_otomate/status/710029910232797184	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター×キャスト情報】◆ディメント（CV:梅原裕一郎)◆本名：烏羽 湊（からすば みなと）年齢：22歳現実：コン
c71092	v17640	志貴	@period_otomate	https://x.com/period_otomate/status/710014699560148992	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター×キャスト情報】◆志貴（CV:鳥海浩輔）◆本名：志貴年齢：21歳現実：医大生公式サイト⇒(https://
c47582	v17641	火ノ宮 一輝	@PE6_otomate	https://x.com/PE6_otomate/status/916170762297339904	フルネーム	2026-09-12	紹介らしい ｜ ☆彡発売１周年記念☆彡【❤一輝ツイート❤】火ノ宮一輝(CV.鈴木達央)「元気だったか！？なかなか迎えにいけなくてごめんな
c47583	v17641	水瀬 碧	@PE6_otomate	https://x.com/PE6_otomate/status/916218589916491776	フルネーム	2026-09-12	紹介らしい ｜ ☆彡発売１周年記念☆彡【💙碧ツイート💙】水瀬 碧(CV.細谷佳正)「お前はもう俺のことなんか忘れてるんじゃねぇかって思っ
c47593	v17641	木夜 椎名	@PE6_otomate	https://x.com/PE6_otomate/status/916204655595499520	フルネーム	2026-09-12	紹介らしい ｜ ☆彡発売１周年記念☆彡【💚椎名ツイート💚】木夜椎名(CV.梶 裕貴)「遅くなってすみません。君になんて伝えたらいいかわか
c47595	v17641	美土宇 昴	@PE6_otomate	https://x.com/PE6_otomate/status/916184747289612289	フルネーム	2026-09-12	紹介らしい ｜ ☆彡発売１周年記念☆彡【💜昴ツイート💜】美土宇昴(CV.諏訪部順一)「君と離れてから随分経つけれど、まだ俺のことを想って
c47596	v17641	黒崎 司	@PE6_otomate	https://x.com/PE6_otomate/status/916195243900379137	フルネーム	2026-09-12	紹介らしい ｜ ☆彡発売１周年記念☆彡【♠司ツイート♠】黒崎 司(CV.島﨑信長)「そろそろオレと一緒に来る決心はついた？君が望むならい
c47598	v17641	皇 日高	@PE6_otomate	https://x.com/PE6_otomate/status/916212446427176960	フルネーム	2026-09-12	紹介らしい ｜ ☆彡発売１周年記念☆彡【☀日高ツイート☀】皇 日高(CV.関 智一)「なあ、あいつらとあんまり会えないからって、そんなに
c39873	v17750	中山 ひなこ	@kenkabancho_o	https://x.com/kenkabancho_o/status/1843494776630599697	フルネーム	2026-09-12	紹介らしい ｜ 【#喧嘩番長乙女 キャラクター紹介】中山ひなこ（※名前は変更可能）本作の主人公。物心ついた時から孤児として施設におり、施
c39874	v17750	箕輪 斗々丸	@kenkabancho_o	https://x.com/kenkabancho_o/status/1844581189623087223	プロフィール	2026-09-12	紹介らしい ｜ 【#喧嘩番長乙女 キャラクター紹介】箕輪 斗々丸（C.V. #KENN ）入学早々クラスをシメようとイキがっていたところ
c39875	v17750	金春 貴之	@kenkabancho_o	https://x.com/kenkabancho_o/status/1846106237395403255	プロフィール	2026-09-12	紹介らしい ｜ 【#喧嘩番長乙女 キャラクター紹介】金春 貴之（C.V.  #蒼井翔太 ）主人公の隣のクラスで、学年最強の男。柔術使いで
c39876	v17750	吉良 麟太郎	@kenkabancho_o	https://x.com/kenkabancho_o/status/1847117902190989556	プロフィール	2026-09-12	紹介らしい ｜ 【#喧嘩番長乙女 キャラクター紹介】吉良 麟太郎（C.V. #細谷佳正 ）2年生のヤンキーで、2年では実力ナンバーワンと
c39877	v17750	未良子 裕太	@kenkabancho_o	https://x.com/kenkabancho_o/status/1848567453313364314	プロフィール	2026-09-12	紹介らしい ｜ 【#喧嘩番長乙女 キャラクター紹介】未良子 裕太（C.V. #柿原徹也 ）吉良と並ぶ実力を持つと言われている、2年生のヤ
c39878	v17750	鬼ヶ島 鳳凰	@kenkabancho_o	https://x.com/kenkabancho_o/status/1849654618835517446	プロフィール	2026-09-12	紹介らしい ｜ 【#喧嘩番長乙女 キャラクター紹介】鬼ヶ島 鳳凰（C.V. #前野智昭 ）学園最強のヤンキー。主人公とひかるの腹違いの兄
c42615	v17853	結城 那由多	@Blackish_H_hb	https://x.com/Blackish_H_hb/status/940156910149316610	アイコン配布	2026-09-12	紹介らしい ｜ ……というわけで、本日は結城那由多（CV:木村良平）の誕生日でしたので、彼の様子をお届けしました！　誕生日を記念してTw
c42616	v17853	阿久根 セラ	@Blackish_H_hb	https://x.com/Blackish_H_hb/status/969159074372755457	アイコン配布	2026-09-12	紹介らしい ｜ ……というわけで、本日は阿久根セラ（CV:蒼井翔太）の誕生日でしたので、彼の様子をお届けしました！　誕生日を記念してTw
c36157	v1805	ケテル	@hiiro_otomate	https://x.com/hiiro_otomate/status/1915330372079931550	プロフィール	2026-09-12	紹介らしい ｜ 【⛓攻略キャラクター紹介】ケテル（CV.#羽多野渉）￣￣￣￣￣￣￣￣￣￣￣￣＜2025年5月15日発売予定＞⛓詳しくはこ
c36157	v1805	ケテル	@hiiro_otomate	https://x.com/hiiro_otomate/status/1904820629204857021	プロフィール	2026-09-12	紹介らしい ｜ 【⛓攻略キャラクター紹介】ケテル（CV.#羽多野渉）￣￣￣￣￣￣￣￣￣￣￣￣＜2025年5月15日発売予定＞⛓詳しくはこ
c36158	v1805	凛	@hiiro_otomate	https://x.com/hiiro_otomate/status/1915330623834906992	プロフィール	2026-09-12	紹介らしい ｜ 【⛓攻略キャラクター紹介】凛（CV.#代永翼）￣￣￣￣￣￣￣￣￣＜2025年5月15日発売予定＞⛓詳しくはこちら↓htt
c36158	v1805	凛	@hiiro_otomate	https://x.com/hiiro_otomate/status/1905545408887357547	プロフィール	2026-09-12	紹介らしい ｜ 【⛓攻略キャラクター紹介】凛（CV.#代永翼）￣￣￣￣￣￣￣￣￣＜2025年5月15日発売予定＞⛓詳しくはこちら↓htt
c48320	v18159	赤噛 未白	@kk_shirayuki	https://x.com/kk_shirayuki/status/852457867097526272	販促	2026-09-12	要確認 ｜ 【メニュー紹介 ～壊音編①～】『壊音の未白に振舞うマルゲリータ』お友達と是非シェアして食べて頂きたいピザ！トマト＆バジル
c48320	v18159	赤噛 未白	@kk_shirayuki	https://x.com/kk_shirayuki/status/743630585826992128	その他	2026-09-12	要確認 ｜ 【キャラクターインタビュー】トップバッターはアイスの差し入れ名人・未白です！それではご覧ください♪　#鏡界 pic.tw
c48321	v18159	組島 壊音	@kk_shirayuki	https://x.com/kk_shirayuki/status/776605217148186624	フルネーム	2026-09-12	要確認 ｜ 【鏡界の白雪～研究室組～】イラストレーター：キナコ■組島壊音：ＣＶ.杉山紀彰■心条無月：ＣＶ.杉田智和■混堂優等：ＣＶ.
c48321	v18159	組島 壊音	@kk_shirayuki	https://x.com/kk_shirayuki/status/852457867097526272	販促	2026-09-12	要確認 ｜ 【メニュー紹介 ～壊音編①～】『壊音の未白に振舞うマルゲリータ』お友達と是非シェアして食べて頂きたいピザ！トマト＆バジル
c48322	v18159	心条 無月	@kk_shirayuki	https://x.com/kk_shirayuki/status/776605217148186624	フルネーム	2026-09-12	要確認 ｜ 【鏡界の白雪～研究室組～】イラストレーター：キナコ■組島壊音：ＣＶ.杉山紀彰■心条無月：ＣＶ.杉田智和■混堂優等：ＣＶ.
c48323	v18159	混堂 優等	@kk_shirayuki	https://x.com/kk_shirayuki/status/776605217148186624	フルネーム	2026-09-12	要確認 ｜ 【鏡界の白雪～研究室組～】イラストレーター：キナコ■組島壊音：ＣＶ.杉山紀彰■心条無月：ＣＶ.杉田智和■混堂優等：ＣＶ.
c48324	v18159	墨府 刺君	@kk_shirayuki	https://x.com/kk_shirayuki/status/776605291706093569	フルネーム	2026-09-12	要確認 ｜ 【鏡界の白雪～交番組～】イラストレーター：キナコ■墨府刺君：ＣＶ.松岡禎丞■欠屋左慈：ＣＶ.斉藤壮馬■善野世裏：ＣＶ.竹
c48325	v18159	欠屋 左慈	@kk_shirayuki	https://x.com/kk_shirayuki/status/776605291706093569	フルネーム	2026-09-12	要確認 ｜ 【鏡界の白雪～交番組～】イラストレーター：キナコ■墨府刺君：ＣＶ.松岡禎丞■欠屋左慈：ＣＶ.斉藤壮馬■善野世裏：ＣＶ.竹
c48326	v18159	善野 世裏	@kk_shirayuki	https://x.com/kk_shirayuki/status/776605291706093569	フルネーム	2026-09-12	要確認 ｜ 【鏡界の白雪～交番組～】イラストレーター：キナコ■墨府刺君：ＣＶ.松岡禎丞■欠屋左慈：ＣＶ.斉藤壮馬■善野世裏：ＣＶ.竹
c48326	v18159	善野 世裏	@kk_shirayuki	https://x.com/kk_shirayuki/status/852458423622942721	販促	2026-09-12	要確認 ｜ 【メニュー紹介 ～世裏編①～】『世裏と公園のベンチで食べたバナナクレープ』お食事の後に合うちょうど良い甘さのバナナクレー
c48327	v18159	在間 虚	@kk_shirayuki	https://x.com/kk_shirayuki/status/776605364666134529	フルネーム	2026-09-12	要確認 ｜ 【鏡界の白雪～同居人組～】イラストレーター：キナコ■在間虚　：ＣＶ.逢坂良太■王崎眞記：ＣＶ.森川智之　#鏡界 pic.
c48328	v18159	王崎 眞記	@kk_shirayuki	https://x.com/kk_shirayuki/status/776605364666134529	フルネーム	2026-09-12	要確認 ｜ 【鏡界の白雪～同居人組～】イラストレーター：キナコ■在間虚　：ＣＶ.逢坂良太■王崎眞記：ＣＶ.森川智之　#鏡界 pic.
c39729	v18160	星野 市香	@CM_otomate	https://x.com/CM_otomate/status/2089549250250301781	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター紹介】星野 市香（※名前のみ変更可能）21歳。 警察官になって半年の新人。新宿署の地域課・特殊地域防犯対策
c39730	v18160	柳 愛時	@CM_otomate	https://x.com/CM_otomate/status/1698906297960206364	誕生日	2026-09-12	過去セッション収集ぶんを復元
c39730	v18160	柳 愛時	@CM_otomate	https://x.com/CM_otomate/status/1566650084422340608	誕生日	2026-09-12	過去セッション収集ぶんを復元
c39730	v18160	柳 愛時	@CM_otomate	https://x.com/CM_otomate/status/2089549370668798445	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター紹介】柳 愛時（cv #森田成一）28歳。元警視庁・捜査一課にいたが離職し、独自でX-Day事件を追う。思
c39731	v18160	岡崎 契	@CM_otomate	https://x.com/CM_otomate/status/1628228087111352322	誕生日	2026-09-12	過去セッション収集ぶんを復元
c39731	v18160	岡崎 契	@CM_otomate	https://x.com/CM_otomate/status/1231062208873816066	誕生日	2026-09-12	過去セッション収集ぶんを復元
c39731	v18160	岡崎 契	@CM_otomate	https://x.com/CM_otomate/status/2089549472582029552	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター紹介】岡崎 契（cv #梶裕貴）26歳。 神出鬼没な警備部警護課――SP。おっとりとした性格で、言動もマイ
c39732	v18160	榎本 峰雄	@CM_otomate	https://x.com/CM_otomate/status/1250999450337599488	誕生日	2026-09-12	過去セッション収集ぶんを復元
c39732	v18160	榎本 峰雄	@CM_otomate	https://x.com/CM_otomate/status/2089549564017852766	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター紹介】榎本 峰雄（cv #斉藤壮馬）23歳。元は新宿署・第二機動捜査隊にいた。直情型で猪突猛進。良くも悪く
c39733	v18160	笹塚 尊	@CM_otomate	https://x.com/CM_otomate/status/1666648745490931712	誕生日	2026-09-12	過去セッション収集ぶんを復元
c39733	v18160	笹塚 尊	@CM_otomate	https://x.com/CM_otomate/status/1269931628035362816	誕生日	2026-09-12	過去セッション収集ぶんを復元
c39733	v18160	笹塚 尊	@CM_otomate	https://x.com/CM_otomate/status/2089549676882301082	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター紹介】笹塚 尊（cv #浪川大輔）24歳。元は警視庁サイバー犯罪対策課にいた。数ヶ月で離職している。頭は良
c39734	v18160	白石 景之	@CM_otomate	https://x.com/CM_otomate/status/1209315778949865475	誕生日	2026-09-12	過去セッション収集ぶんを復元
c39734	v18160	白石 景之	@CM_otomate	https://x.com/CM_otomate/status/2089549776400613646	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター紹介】白石 景之（cv #木村良平）29歳。科捜研所属。物品の解析や鑑定が専門。プロファイリングも得意とし
c42683	v18161	零崎 紘可	@suran_digit	https://x.com/suran_digit/status/1921837755925242173	プロフィール	2026-09-12	紹介らしい ｜ 【主人公紹介】🍚🍖✨三度の飯より睡眠第一🐏🛏💤零崎 紘可 CV.なし※名前変更可能｡+★+｡｡+★+｡｡+★+｡｡+★+
c42684	v18161	壱園 央助	@suran_digit	https://x.com/suran_digit/status/1922200144533192803	プロフィール	2026-09-12	紹介らしい ｜ 【キャラクター紹介】🥇💯✨ストーカー？いいえ、相思相愛です👓🍫💙壱園 央助 CV遊佐 浩二｡+★+｡｡+★+｡｡+★+｡
